ID,Name,Definition,Source,Namespace,Primary_System,Subcategory_Code,Subcategory_Name,Subcategory_Description,All_Systems,Inflammation_Polarity,Confidence_Score,Decision_Path,Classification_Date,Version
GO:0001504,neurotransmitter uptake,The directed movement of neurotransmitters into neurons or glial cells. This process leads to inactivation and recycling of neurotransmitters.,GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0001764,neuron migration,The characteristic movement of an immature neuron from germinal zones to specific positions where they will reside as they mature.,GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0001839,neural plate morphogenesis,The process in which the anatomical structures of the neural plate are generated and organized. The neural plate is a specialized region of columnar epithelial cells in the dorsal ectoderm that will give rise to nervous system tissue.,GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration","['System D: Cognitive-Regulatory', 'System E: Reproduction & Continuity']",,0.8,"['pattern_matching', 'priority_rule_D']",2025-12-24 18:05:49,v8.0
GO:0001840,neural plate development,"The process whose specific outcome is the progression of the neural plate over time, from its formation to the mature structure. The neural plate is a flat, thickened layer of ectodermal cells. The underlying dorsal mesoderm signals the ectodermal cells above it to elongate into columnar neural plate cells. The neural plate subsequently develops into the neural tube, which gives rise to the central nervous system.",GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration","['System D: Cognitive-Regulatory', 'System E: Reproduction & Continuity']",,0.8,"['pattern_matching', 'priority_rule_D']",2025-12-24 18:05:49,v8.0
GO:0001841,neural tube formation,The formation of a tube from the flat layer of ectodermal cells known as the neural plate. This will give rise to the central nervous system.,GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0001842,neural fold formation,The process in which the neural fold is formed. The edges of the neural plate thicken and move up to form a U-shaped structure called the neural groove.,GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0001843,neural tube closure,"The last step in the formation of the neural tube, where the paired neural folds are brought together and fuse at the dorsal midline.",GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0001956,positive regulation of neurotransmitter secretion,"Any process that activates or increases the frequency, rate or extent of the regulated release of a neurotransmitter.",GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration","['System D: Cognitive-Regulatory', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_D']",2025-12-24 18:05:49,v8.0
GO:0001976,nervous system process involved in regulation of systemic arterial blood pressure,The regulation of blood pressure mediated by detection of stimuli and a neurological response.,GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0001978,regulation of systemic arterial blood pressure by carotid sinus baroreceptor feedback,The process that modulates blood pressure by sensing the amount of stretch occurring in large arteries and responding to the input via central nervous system control.,GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0002013,detection of carbon dioxide by vasomotor center,The process by a carbon dioxide stimulus is received and converted to a molecular signal by the vasomotor center of the central nervous system.,GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
GO:0002014,vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure,The vasoconstriction that is triggered by vasomotor excitation resulting from the detection of high carbon dioxide levels in the vasomotor center of the central nervous system.,GO,biological_process,System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,"Neural signaling, synaptic communication, sensor-motor integration",['System D: Cognitive-Regulatory'],,0.9,"['pattern_matching', 'single_match_D']",2025-12-24 18:05:49,v8.0
