ID,Name,Definition,Source,Namespace,Primary_System,Subcategory_Code,Subcategory_Name,Subcategory_Description,All_Systems,Inflammation_Polarity,Confidence_Score,Decision_Path,Classification_Date,Version
GO:0000742,karyogamy involved in conjugation with cellular fusion,"During sexual reproduction, the creation of a single nucleus from multiple nuclei as a result of fusing the lipid bilayers that surround each nuclei. This occurs after cytogamy.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:48,v8.0
GO:0000744,karyogamy involved in conjugation with mutual genetic exchange,"During sexual reproduction, the creation of a single nucleus from two nuclei as a result of fusing the nuclear envelopes that surround each nuclei. This takes place following the mutual exchange of one of the two nuclei produced by the mitosis that follows the second meiotic nuclear division. This occurs in ciliated protozoans such as Tetrahymena.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation","['System E: Reproduction & Continuity', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_E']",2025-12-24 18:05:48,v8.0
GO:0000753,cell morphogenesis involved in conjugation with cellular fusion,The change in form (cell shape and size) that occurs during sexual reproduction in order to facilitate direct contact between the compatible mating types in organisms that undergo conjugation cellular fusion.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:49,v8.0
GO:0000905,sporocarp development involved in asexual reproduction,The formation of a spore-bearing structure by fungus where spores will arise from asexual reproduction.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:49,v8.0
GO:0003006,developmental process involved in reproduction,"A developmental process in which a progressive change in the state of some part of an organism, germline or somatic, specifically contributes to its ability to form offspring.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:49,v8.0
GO:0007276,gamete generation,The generation and maintenance of gametes in a multicellular organism. A gamete is a haploid reproductive cell.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:50,v8.0
GO:0007281,germ cell development,"The process whose specific outcome is the progression of an immature germ cell over time, from its formation to the mature structure (gamete). A germ cell is any reproductive cell in a multicellular organism.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:50,v8.0
GO:0007292,female gamete generation,Generation of the female gamete; specialised haploid cells produced by meiosis and along with a male gamete takes part in sexual reproduction.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation","['System E: Reproduction & Continuity', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_E']",2025-12-24 18:05:50,v8.0
GO:0007338,single fertilization,The union of male and female gametes to form a zygote.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:50,v8.0
GO:0007565,female pregnancy,The set of physiological processes that allow an embryo or foetus to develop within the body of a female animal. It covers the time from fertilization of a female ovum by a male spermatozoon until birth.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0007595,lactation,The regulated release of milk from the mammary glands and the period of time that a mother lactates to feed her young.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0007617,mating behavior,"The behavioral interactions between organisms for the purpose of mating, or sexual reproduction resulting in the formation of zygotes.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0007618,mating,"The pairwise union of individuals for the purpose of sexual reproduction, ultimately resulting in the formation of zygotes.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0008354,germ cell migration,The orderly movement of a cell specialized to produce haploid gametes through the embryo from its site of production to the place where the gonads will form.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0009566,fertilization,The union of gametes of opposite sexes during the process of sexual reproduction to form a zygote. It involves the fusion of the gametic nuclei (karyogamy) and cytoplasm (plasmogamy).,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0009567,double fertilization forming a zygote and endosperm,"Fertilization where one of the two sperm nuclei from the pollen tube fuses with the egg nucleus to form a 2n zygote, and the other fuses with the two polar nuclei to form the 3n primary endosperm nucleus and then develops into the endosperm. The ploidy level of the 2n zygote and 3n primary endosperm nucleus is determined by the ploidy level of the parents involved. An example of this component is found in Arabidopsis thaliana.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0009677,double fertilization forming two zygotes,"Rudimentary double fertilization where one of the two sperm nuclei from the pollen tube fuses with the egg nucleus to form a 2n zygote, and the other fuses with the ventral canal cell nucleus to form a second zygote, which soon degenerates. An example of this process is found in the Gnetophytes, such as Welwitschia mirabilis.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0009856,pollination,"The cascade of biological processes occurring in plants beginning when the pollen lands on the female reproductive organs of a plant and continuing up to, but not including, fertilization, as defined by sperm-egg cell fusion.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0009960,endosperm development,"The process whose specific outcome is the progression of the endosperm over time, from its formation to the mature structure. The endosperm is formed during fertilization and provides nutrients to the developing embryo.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0010197,polar nucleus fusion,"The merging of the polar nuclei, the two nuclei contained within the same cell that are created from the mitotic division of the megaspore during angiosperm reproduction. Polar nuclear fusion takes place in the ovule, forming in the fusion nucleus and giving rise to the endosperm when fertilized.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0010262,somatic embryogenesis,"Initiation of a somatic embryo-an embryo arising from previously differentiated somatic cells, rather than from fused haploid gametes.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:51,v8.0
GO:0014896,muscle hypertrophy,The muscle system process that results in enlargement or overgrowth of all or part of a muscle organ due to an increase in the size of its muscle cells. Physiological hypertrophy is a normal process during development (it stops in cardiac muscle after adolescence) and can also be brought on in response to demand. In athletes cardiac and skeletal muscles undergo hypertrophy stimulated by increasing muscle activity on exercise. Smooth muscle cells in the uterus undergo hypertrophy during pregnancy.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:52,v8.0
GO:0019098,reproductive behavior,The specific behavior of an organism that is associated with reproduction.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:53,v8.0
GO:0019954,asexual reproduction,"A type of reproduction in which new individuals are produced from a single organism, either from an unfertilized egg or from a single cell or group of cells.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:53,v8.0
GO:0022032,telencephalon oligodendrocyte cell migration,"The multiplication or reproduction of telencephalon oligodendrocyte cells, resulting in the expansion of a cell population.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:53,v8.0
GO:0022412,cellular process involved in reproduction in multicellular organism,"A process, occurring at the cellular level, that is involved in the reproductive function of a multicellular organism.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:53,v8.0
GO:0022601,menstrual cycle phase,"The progression of physiological phases, occurring in the endometrium during the menstrual cycle that recur at regular intervals during the reproductive years. The menstrual cycle is an ovulation cycle where the endometrium is shed if pregnancy does not occur.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:53,v8.0
GO:0022605,mammalian oogenesis stage,A reproductive process that is a step in the formation and maturation of an ovum or female gamete from a primordial female germ cell.,GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:53,v8.0
GO:0030435,sporulation resulting in formation of a cellular spore,"The process in which a relatively unspecialized cell acquires the specialized features of a cellular spore, a cell form that can be used for dissemination, for survival of adverse conditions because of its heat and desiccation resistance, and/or for reproduction.",GO,biological_process,System E: Reproduction & Continuity,E1,Reproduction,"Gametogenesis, reproductive endocrine, fertilization, gestation",['System E: Reproduction & Continuity'],,0.9,"['pattern_matching', 'single_match_E']",2025-12-24 18:05:54,v8.0
