ID,Name,Definition,Source,Namespace,Primary_System,Subcategory_Code,Subcategory_Name,Subcategory_Description,All_Systems,Inflammation_Polarity,Confidence_Score,Decision_Path,Classification_Date,Version
GO:0000001,mitochondrion inheritance,"The distribution of mitochondria, including the mitochondrial genome, into daughter cells after mitosis or meiosis, mediated by interactions between mitochondria and the cytoskeleton.",GO,biological_process,System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,"DNA damage sensing/repair, chromatin maintenance, telomere maintenance","['System A: Self-Healing & Structural Reconstruction', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_A']",2025-12-24 18:05:48,v8.0
GO:0000012,single strand break repair,The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair.,GO,biological_process,System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,"DNA damage sensing/repair, chromatin maintenance, telomere maintenance",['System A: Self-Healing & Structural Reconstruction'],,0.9,"['pattern_matching', 'single_match_A']",2025-12-24 18:05:48,v8.0
GO:0000018,regulation of DNA recombination,"Any process that modulates the frequency, rate or extent of DNA recombination, a DNA metabolic process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents.",GO,biological_process,System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,"DNA damage sensing/repair, chromatin maintenance, telomere maintenance",['System A: Self-Healing & Structural Reconstruction'],,0.9,"['pattern_matching', 'single_match_A']",2025-12-24 18:05:48,v8.0
GO:0000019,regulation of mitotic recombination,"Any process that modulates the frequency, rate or extent of DNA recombination during mitosis.",GO,biological_process,System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,"DNA damage sensing/repair, chromatin maintenance, telomere maintenance","['System A: Self-Healing & Structural Reconstruction', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_A']",2025-12-24 18:05:48,v8.0
GO:0000070,mitotic sister chromatid segregation,"The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets.",GO,biological_process,System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,"DNA damage sensing/repair, chromatin maintenance, telomere maintenance",['System A: Self-Healing & Structural Reconstruction'],,0.9,"['pattern_matching', 'single_match_A']",2025-12-24 18:05:48,v8.0
GO:0000077,DNA damage checkpoint signaling,A signal transduction process that contributes to a DNA damage checkpoint.,GO,biological_process,System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,"DNA damage sensing/repair, chromatin maintenance, telomere maintenance","['System A: Self-Healing & Structural Reconstruction', 'System D: Cognitive-Regulatory']",,0.8,"['pattern_matching', 'priority_rule_A']",2025-12-24 18:05:48,v8.0
GO:0000080,mitotic G1 phase,The cell cycle 'gap' phase which is the interval between the completion of DNA segregation by mitosis and the beginning of DNA synthesis.,GO,biological_process,System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,"DNA damage sensing/repair, chromatin maintenance, telomere maintenance","['System A: Self-Healing & Structural Reconstruction', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_A']",2025-12-24 18:05:48,v8.0
GO:0000082,G1/S transition of mitotic cell cycle,"The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated.",GO,biological_process,System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,"DNA damage sensing/repair, chromatin maintenance, telomere maintenance","['System A: Self-Healing & Structural Reconstruction', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_A']",2025-12-24 18:05:48,v8.0
GO:0000084,mitotic S phase,"The cell cycle phase, following G1, during which DNA synthesis takes place as part of a mitotic cell cycle.",GO,biological_process,System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,"DNA damage sensing/repair, chromatin maintenance, telomere maintenance",['System A: Self-Healing & Structural Reconstruction'],,0.9,"['pattern_matching', 'single_match_A']",2025-12-24 18:05:48,v8.0
GO:0000085,mitotic G2 phase,The cell cycle 'gap' phase which is the interval between the completion of DNA synthesis and the beginning of DNA segregation by mitosis.,GO,biological_process,System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,"DNA damage sensing/repair, chromatin maintenance, telomere maintenance","['System A: Self-Healing & Structural Reconstruction', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_A']",2025-12-24 18:05:48,v8.0
