ID,Name,Definition,Source,Namespace,Primary_System,Subcategory_Code,Subcategory_Name,Subcategory_Description,All_Systems,Inflammation_Polarity,Confidence_Score,Decision_Path,Classification_Date,Version
GO:0006749,glutathione metabolic process,"The chemical reactions and pathways involving glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins; it has a specific role in the reduction of hydrogen peroxide (H2O2) and oxidized ascorbate, and it participates in the gamma-glutamyl cycle.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:50,v8.0
GO:0006750,glutathione biosynthetic process,"The chemical reactions and pathways resulting in the formation of glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:50,v8.0
GO:0006751,glutathione catabolic process,"The chemical reactions and pathways resulting in the breakdown of glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:50,v8.0
GO:0006805,xenobiotic metabolic process,"The chemical reactions and pathways involving a xenobiotic compound, a compound foreign to the organism exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:50,v8.0
GO:0009410,response to xenobiotic stimulus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a xenobiotic, a compound foreign to the organism exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:05:51,v8.0
GO:0010127,mycothiol-dependent detoxification,The chemical reactions using mycothiol to convert an alkylating agent to an S-conjugate of mycothiol. The latter is cleaved to release mercapturic acid which is excreted from the cell.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0010189,vitamin E biosynthetic process,"The chemical reactions and pathways resulting in the formation of vitamin E, tocopherol, which includes a series of eight structurally similar compounds. Alpha-tocopherol is the most active form in humans and is a powerful biological antioxidant.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0010273,detoxification of copper ion,Any process that reduces or removes the toxicity of copper ion. These include transport of copper away from sensitive areas and to compartments or complexes whose purpose is sequestration of copper ion.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0010299,detoxification of cobalt ion,Any process that reduces or removes the toxicity of cobalt ion (Co2+). These include transport of cobalt away from sensitive areas and to compartments or complexes whose purpose is sequestration of cobalt ion.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0010312,detoxification of zinc ion,Any process that reduces or removes the toxicity of zinc ion. These include transport of zinc away from sensitive areas and to compartments or complexes whose purpose is sequestration of zinc ion.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:51,v8.0
GO:0042178,xenobiotic catabolic process,"The chemical reactions and pathways resulting in the breakdown of a xenobiotic compound, a compound foreign to the organism exposed to it, carried out by individual cells. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:56,v8.0
GO:0042360,vitamin E metabolic process,"The chemical reactions and pathways involving vitamin E, tocopherol, which includes a series of eight structurally similar compounds. Alpha-tocopherol is the most active form in humans and is a powerful biological antioxidant.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:56,v8.0
GO:0042908,xenobiotic transport,"The directed movement of a xenobiotic into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. A xenobiotic is a compound foreign to the organism exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:56,v8.0
GO:0046618,xenobiotic export from cell,"The directed movement of a xenobiotic from a cell, into the extracellular region. A xenobiotic is a compound foreign to the organism exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:57,v8.0
GO:0050787,detoxification of mercury ion,Any process that reduce or remove the toxicity of mercuric ion. These include transport of mercury away from sensitive areas and to compartments or complexes whose purpose is sequestration of mercury ion and/or reduction of mercury ion (Hg[II]) to metallic mercury (Hg[0]).,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:58,v8.0
GO:0051410,detoxification of nitrogen compound,Any process that reduces or removes the toxicity of nitrogenous compounds which are dangerous or toxic. This includes the aerobic conversion of toxic compounds to harmless substances.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:58,v8.0
GO:0052698,ergothioneine metabolic process,"The chemical reactions and pathways involving ergothioneine, a naturally occurring metabolite of histidine with antioxidant properties.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:59,v8.0
GO:0052699,ergothioneine biosynthetic process,"The chemical reactions and pathways resulting in the formation of ergothioneine, a naturally occurring metabolite of histidine with antioxidant properties.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:59,v8.0
GO:0052700,ergothioneine catabolic process,"The chemical reactions and pathways resulting in the breakdown of ergothioneine, a naturally occurring metabolite of histidine with antioxidant properties.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:05:59,v8.0
GO:0061687,detoxification of inorganic compound,Any process that reduces or removes the toxicity of inorganic compounds. These include transport of such compounds away from sensitive areas and to compartments or complexes whose purpose is sequestration of inorganic compounds.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:06:00,v8.0
GO:0061691,detoxification of hydrogen peroxide,Any process that reduces or removes the toxicity of hydrogen peroxide. These include transport of hydrogen peroxide away from sensitive areas and to compartments or complexes whose purpose is sequestration.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:06:00,v8.0
GO:0061692,cellular detoxification of hydrogen peroxide,Any process that reduces or removes the toxicity of hydrogen peroxide in a cell. These include transport of hydrogen peroxide away from sensitive areas and to compartments or complexes whose purpose is sequestration.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:06:00,v8.0
GO:0061772,xenobiotic transport across blood-nerve barrier,The directed movement of a xenobiotic through the blood-nerve barrier.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:06:00,v8.0
GO:0070458,cellular detoxification of nitrogen compound,Any cellular process that reduces or removes the toxicity of nitrogenous compounds which are dangerous or toxic. This includes the aerobic conversion of toxic compounds to harmless substances.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:06:00,v8.0
GO:0071466,cellular response to xenobiotic stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a xenobiotic, a compound foreign to the organism exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination","['System C: Energy & Metabolic Homeostasis', 'System 0: General Molecular Machinery']",,0.8,"['pattern_matching', 'priority_rule_C']",2025-12-24 18:06:01,v8.0
GO:0071585,detoxification of cadmium ion,Any process that reduces or removes the toxicity of cadmium ion. These may include transport of cadmium away from sensitive areas and to compartments or complexes whose purpose is sequestration of cadmium ion.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:06:01,v8.0
GO:0071722,detoxification of arsenic-containing substance,"Any process that reduces or removes the toxicity of compounds containing arsenic, including arsenates, arsenites, and arsenides. These include transport of such compounds away from sensitive areas and to compartments or complexes whose purpose is sequestration of arsenic or arsenic-containing compounds.",GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:06:01,v8.0
GO:0098754,detoxification,Any process that reduces or removes the toxicity of a toxic substance. These may include transport of the toxic substance away from sensitive areas and to compartments or complexes whose purpose is sequestration of the toxic substance.,GO,biological_process,System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,"Xenobiotic transformation, harmful metabolite elimination",['System C: Energy & Metabolic Homeostasis'],,0.9,"['pattern_matching', 'single_match_C']",2025-12-24 18:06:02,v8.0
